ObjectPrice,YearModel,Milage,FirstRegistrationYear,Effect,Weight,EngineVolume,RegistrationClass_Annet,RegistrationClass_Personbil,RegistrationClass_Varebil,BodyType_Annet,BodyType_Flerbruksbil,BodyType_Kasse,BodyType_Kombi 3-dørs,BodyType_Kombi 5-dørs,BodyType_Pickup,BodyType_Stasjonsvogn,WheelDrive_Bakhjulsdrift,WheelDrive_Firehjulsdrift,WheelDrive_Forhjulsdrift
177100.0,2012.0,41.6,2012.0,102.0,1440.0,1.6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
130000.0,2009.0,113.0,1900.0,105.0,,1.9,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
157800.0,2012.0,31.8,2011.0,102.0,1422.0,1.6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
147800.0,2012.0,51.4,2011.0,102.0,1422.0,1.6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
173800.0,2011.0,73.9,2011.0,110.0,1542.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
196400.0,2012.0,103.5,2011.0,102.0,,1.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
89000.0,2009.0,125.0,2009.0,105.0,1539.0,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
177800.0,2012.0,45.979,2011.0,110.0,,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
188000.0,2012.0,27.0,2012.0,140.0,,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
88500.0,2009.0,125.0,2009.0,105.0,1539.0,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
182000.0,2011.0,50.0,2011.0,110.0,,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
166400.0,2011.0,168.0,1900.0,102.0,,1.6,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
128000.0,2011.0,43.8,2011.0,102.0,,1.6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
90000.0,2008.0,104.003,2008.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
90000.0,2008.0,104.003,2008.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
67800.0,2008.0,136.0,2008.0,105.0,,1.9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
187800.0,2012.0,56.9,2011.0,110.0,1542.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
128700.0,2009.0,45.3,2008.0,105.0,,1.9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
106800.0,2010.0,90.404,2009.0,105.0,1539.0,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
217800.0,2011.0,82.0,1900.0,140.0,,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
178700.0,2012.0,47.78,2011.0,102.0,1630.0,1.6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
147800.0,2011.0,103.5,2010.0,110.0,1542.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
187100.0,2014.0,5.205,2014.0,102.0,,1.6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
249000.0,2014.0,20.0,1900.0,110.0,,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
114300.0,2011.0,76.1,2011.0,102.0,,1.6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
75000.0,2006.0,115.0,1900.0,105.0,,1.6,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
175000.0,2008.0,58.5,2008.0,105.0,,1.9,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
97000.0,2009.0,109.0,2008.0,140.0,,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
98700.0,2010.0,92.0,2010.0,105.0,,1.9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
128700.0,2012.0,68.2,1900.0,102.0,,1.6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
129000.0,2011.0,129.0,2011.0,110.0,,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
207800.0,2012.0,38.517,2011.0,110.0,1542.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
208600.0,2012.0,37.0,2011.0,110.0,,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
187800.0,2012.0,34.763,2011.0,110.0,1542.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
147800.0,2012.0,34.485,2011.0,102.0,1422.0,1.6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
146000.0,2011.0,107.5,2011.0,110.0,,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
108000.0,2010.0,78.0,1900.0,105.0,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
157800.0,2012.0,51.4,2011.0,102.0,1422.0,1.6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
179000.0,2012.0,35.0,1900.0,110.0,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
167800.0,2012.0,23.304,2011.0,102.0,1431.0,1.6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
137800.0,2012.0,24.838,2011.0,102.0,,1.6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
137800.0,2012.0,39.45,2011.0,102.0,,1.6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
145800.0,2012.0,21.61,2011.0,102.0,,1.6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
220000.0,2013.0,31.0,2012.0,110.0,,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
103800.0,2010.0,67.0,2009.0,105.0,,1.9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
97800.0,2009.0,70.5,2009.0,105.0,1539.0,1.9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
103700.0,2010.0,99.0,2009.0,105.0,,1.9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
160000.0,2011.0,35.5,1900.0,140.0,,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
207100.0,2014.0,50.4,2013.0,110.0,1541.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
167100.0,2012.0,39.29,2012.0,102.0,1422.0,1.6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
173000.0,2010.0,85.0,2009.0,105.0,,1.9,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
123800.0,2011.0,90.0,2011.0,102.0,,1.6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
93700.0,2010.0,111.0,1900.0,105.0,,1.9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
144500.0,2008.0,129.0,2008.0,105.0,,1.9,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
146800.0,2012.0,30.446,2011.0,102.0,1422.0,1.6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
153800.0,2012.0,44.321,2011.0,102.0,1422.0,1.6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
257100.0,2014.0,11.942,2013.0,110.0,1541.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
177000.0,2012.0,36.0,1900.0,110.0,,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
128500.0,2010.0,125.0,2010.0,105.0,,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
153800.0,2012.0,21.3,2011.0,102.0,1431.0,1.6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
107800.0,2010.0,81.655,2010.0,105.0,1429.0,1.9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
93800.0,2008.0,88.5,2008.0,105.0,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
165000.0,2009.0,93.0,2009.0,105.0,,1.9,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
118700.0,2012.0,83.898,1900.0,102.0,,1.6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
178000.0,2012.0,18.0,2011.0,102.0,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
228000.0,2014.0,36.0,1900.0,140.0,,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
187800.0,2012.0,64.66,2011.0,140.0,1461.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
90800.0,2009.0,113.0,2008.0,105.0,1539.0,1.9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
65000.0,2009.0,125.894,2009.0,105.0,,1.9,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
183100.0,2013.0,16.81,2012.0,102.0,,1.6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
187100.0,2013.0,9.849,2012.0,102.0,,1.6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
177100.0,2013.0,17.951,2012.0,102.0,,1.6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
127800.0,2012.0,70.21,2011.0,102.0,,1.6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
197100.0,2012.0,42.267,2012.0,110.0,1541.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
148500.0,2011.0,104.0,1900.0,110.0,,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
143000.0,2010.0,61.0,1900.0,105.0,,1.9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
95000.0,2012.0,151.0,1900.0,102.0,,1.6,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
73800.0,2008.0,119.0,2008.0,105.0,,1.9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
193100.0,2012.0,28.648,2012.0,110.0,,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
134200.0,2012.0,245.145,2012.0,102.0,,1.6,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
78700.0,2009.0,101.5,1900.0,105.0,,1.9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
87800.0,2009.0,84.0,1900.0,105.0,,1.9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
93800.0,2009.0,102.0,1900.0,105.0,,1.9,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
